Product_ID,Product_Name,Category,Price,Stock_Level,Supplier,Discount,Rating
202,Book,Home Appliances,838.6650796785611,290,Supplier C,3,3
535,Book,Books,212.9501143401699,332,Supplier A,21,2
960,Phone,Home Appliances,452.32754118601974,179,Supplier B,21,2
370,Shirt,Toys,215.4233658033643,414,Supplier A,36,5
206,Refrigerator,Electronics,279.18238033384694,357,Supplier B,38,5
171,Phone,Toys,513.4760418816484,234,Supplier A,33,1
800,Shirt,Clothing,86.74684422905209,342,Supplier A,32,4
120,,Clothing,233.81084300140773,195,Supplier A,43,3
714,Phone,Books,936.670598080975,307,Supplier A,41,5
221,Book,Toys,476.7939668053192,79,Supplier C,39,2
566,,Books,456.4787954583148,134,Supplier A,32,1
314,Book,Books,,21,Supplier C,11,3
430,Phone,Clothing,,476,Supplier B,1,2
558,,Books,868.9665872625377,330,Supplier B,27,2
187,Laptop,Clothing,181.33585969349537,439,Supplier C,9,4
472,Refrigerator,Electronics,,224,Supplier B,21,4
199,Shirt,Toys,34.04428774966123,57,Supplier B,16,5
971,Refrigerator,Books,488.76877203714474,92,Supplier A,25,5
763,Book,Clothing,40.60068459169281,191,Supplier A,2,2
230,Shirt,Home Appliances,823.2173620044839,102,Supplier A,6,2
761,Book,Books,828.3566921373615,395,Supplier C,43,5
408,Laptop,Electronics,,6,Supplier C,7,5
869,Phone,Electronics,297.6967875132958,127,Supplier B,19,2
443,Shirt,Home Appliances,840.4924738573817,54,Supplier A,11,3
591,Laptop,Clothing,552.1381699531639,230,Supplier C,34,2
513,Laptop,Books,,361,Supplier C,16,3
905,Shirt,Clothing,632.8233605101483,61,Supplier A,27,3
485,Book,Electronics,32.094225139166525,239,Supplier C,40,2
291,Laptop,Clothing,160.1016600487371,89,Supplier A,9,1
376,Refrigerator,Electronics,747.4476674068575,231,Supplier B,21,5
260,Laptop,Clothing,259.27837654182997,456,Supplier B,37,4
559,Book,Home Appliances,606.0489349821746,232,Supplier B,32,2
413,Book,Toys,397.40055076656904,353,Supplier A,21,3
121,Refrigerator,Home Appliances,857.7096632232763,492,Supplier C,43,2
352,Laptop,Home Appliances,953.3669998767107,332,Supplier B,36,5
847,Book,Toys,885.8934338027866,438,Supplier B,12,3
956,Shirt,Toys,285.20759479972475,374,Supplier B,26,4
660,Phone,Books,210.27961166516062,291,Supplier C,14,4
574,Phone,Books,484.9461957483203,344,Supplier C,21,4
158,Phone,Home Appliances,27.18746781945667,-1,Supplier A,29,1
